1	771
2	137
3	138
4	175
5	164
6	163
7	182
8	200
9	199
10	314
11	189
12	192
13	282
14	259
15	266
16	268
17	165
18	358
19	260
20	186
21	351
22	298
23	277
24	167
25	335
26	333
27	662
28	266
29	389
30	337
31	537
32	627
33	205
34	912
35	1150
36	896
37	1339
38	1277
39	1759
40	521
41	2181
42	659
43	1278
44	1294
45	2422
46	716
47	1637
48	2843
49	4758
50	3016
51	1023
52	1519
53	848
54	2120
55	2405
56	1208
57	1780
58	2219
59	2079
60	842
61	1103
62	1256
63	2695
64	718
65	2939
66	871
67	890
68	643
69	1255
70	2482
71	1366
72	1366
73	1254
74	2904
75	2527
76	1175
77	2398
78	4719
79	6565
80	1256
81	5221
82	4611
83	4602
84	6896
85	2477
86	781
87	2459
88	3144
89	2000
90	168
91	4019
92	4364
93	1772
94	7492
95	3542
96	9779
97	1239
98	9475
99	2648
100	1354
